name;category;description;price;price_old;gender;season;material
Girls' Gabine Polka-Dot Sunglasses - Black;Accessories;These Gabine sunglasses for girls in black feature a stylish square silhouette with playful polka-dotted frames, tinted lenses and the line's iconic horseshoe accents on the sides. She will love playing dress-up with this pair during the warmer months.;80;80;Women;Summer;Recycled Acetate
Aubrey Rectangular Sunglasses;Accessories;These Aubrey sunglasses in mint green feature a sleek, rectangular silhouette with trendy acetate frames and tinted lenses for UV protection. Let them complement relaxed outfits that will work well for casual plans.;80;80;Women;Summer;Recycled Acetate
Delfina Octopus Charm;Accessories;This Delfina octopus charm in tomato red doubles as a keychain and features a heart-shaped push-in clasp, a knotted-rope detail and bead embellishments. Use it to add a playful touch to your everyday bag.;20;25;Women;Summer;Wrinkled PU
Delfina Dolphin Charm;Accessories;This Delfina dolphin charm in butter yellow doubles as a keychain and features a round push-in clasp, a lobster clasp, stitch trims and studded details. Whether you use it as a bag charm or as a keyring, it will add a whimsical touch to your daily routine.;20;25;Women;Summer;Wrinkled PU
Sable Knot Rectangular Sunglasses;Accessories;These Sable rectangular sunglasses in black feature rope-knot details on gold-tone metallic arms and classic angular frames. Bring this pair with you every day to protect your eyes from UV rays -- they will also instantly elevate any outfit you have on.;80;80;Women;Summer;Recycled Acetate
Rose Charm;Accessories;This whimsical and feminine charm and keychain features a cream rose, a pink rose and a mint-green leaf that are made with smooth faux leather. Use it to add a touch of charm and elegance to your everyday routine.;20;25;Women;Summer;Wrinkled PU
Alix Butterfly Sunglasses;Accessories;These Alix sunglasses in black feature butterfly-shaped frames, metallic accents and tinted lenses. Pair them with structured outerwear for a bold and contemporary aesthetic.;80;80;Women;Summer;Recycled Acetate
Ivette Woven Robot Bag Charm;Accessories;This Ivette bag charm in pink is shaped like a boxy robot and features a woven body. Clip it onto your bag of choice to introduce a playful element to your everyday ensembles.;20;25;Women;Summer;Wrinkled PU
Leighton Square Sunglasses ;Accessories;Black sunglasses are timeless accessories. These Leighton square sunglasses are perfect for accentuating and framing your face. The gold-accented temples add a hint of shine while the tinted lenses provide UV protection.;80;80;Women;Summer;Recycled Acetate
Pearl Beaded-Strap Furry Ball Charm;Accessories;Add a subtle pop of colour to your look with this light blue furry ball charm. Attach it to your go-to tote or hang it from the belt loop of your favourite jeans with its handy clip ring -- the styling possibilities are endless.;20;25;Women;Summer;Wrinkled PU
Nyra Sculptural Drop Earrings - Gold;Accessories;Make a bold statement with these gold Nyra drop earrings. Their fluid lines and sculptural design exude effortless sophistication -- they will lend a polished and understated edge to any outfit.;50;50;Women;Summer;Brass
Nyra Sculptural Drop Earrings - Silver;Accessories;These Nyra drop earrings put a contemporary twist on your classic drop earrings. The polished silver finish and sleek, sculptural design makes them the perfect accerssory to elevate any outfit with understated edge.;50;50;Women;Summer;Brass
Evangeline Turquoise Crystal Ring - Silver;Accessories;You can count on this Evangeline ring to add a vibrant pop of colour to any look. It features a sparkling turquoise faux crystal as its focus, which is complemented by a silver-tone stainless steel band.;50;50;Women;Summer;Stainless Steel
Evangeline Turquoise Crystal Ring - Gold;Accessories;You can always count on this Evangeline ring to add a touch of sparkle and sculptural detail to any look. Featuring a large clear crystal and a gold-tone finish, it is classy and glamorous at once. Pair it with the other pieces from the Evangeline line to create a striking combination.;50;50;Women;Summer;Stainless Steel
Evangeline Clear Crystal Drop Earrings - Gold;Accessories;Sometimes, all you need is a little sparkle to bring your entire look together -- and these Evangeline drop earrings will do that with effortless elegance. The large white faux crystals are complemented by gold-tone settings to create a minimalist yet glamorous design.;50;50;Women;Summer;Stainless Steel
Evangeline Clear Crystal Drop Earrings - Silver;Accessories;Let these sculptural drop earrings bring a touch of artful elegance to your look. The eye-catching turquoise crystals will perfectly complement vibrant personalities and are sure to lift the mood of anyone who sees them.;50;50;Women;Summer;Stainless Steel
Corrine Pearl Sculptural Drop Earrings - Gold;Accessories;Featuring lustrous pearls nestled between sculptural pillars and accented with additional pearl details, these drop earrings make a subtle yet striking statement. The understated brushed gold finish adds versatility -- perfect for everyday wear.;50;50;Women;Summer;Brass
Corrine Pearl Sculptural Drop Earrings - Silver;Accessories;Add an artful touch to your everyday ensemble with the Corrine drop earrings, featuring lustrous pearls nestled between sculptural pillars that are accented with additional pearls. The understated silver finish adds versatility.;50;50;Women;Summer;Brass
Corrine Pearl Sculptural Ring - Gold;Accessories;This sculptural ring stands out with its distinctive silhouette. Eye-catching pearl accents add an elegant touch to its understated brushed gold finish, making it perfect for stacking with other minimalist rings.;50;50;Women;Summer;Brass
Corrine Pearl Sculptural Ring - Silver;Accessories;Add an artful touch to your everyday ensemble with the Corrine necklace, featuring a sculptural silhouette embellished with elegant pearl accents. Perfect for stacking, it is an ideal piece to create a personalised look.;50;50;Women;Summer;Brass
Orinda Crystal Drop Earrings - Gold;Accessories;Tastefully subtle, these Orinda earrings will elevate your looks. The drop design features organic shapes and star motifs to create a distinctive design. They are also flattering as they will streamline your face.;50;50;Women;Summer;Brass
Orinda Crystal Drop Earrings - Silver;Accessories;Add this elegant pair of earrings to your collection. They feature star motifs and organic shapes in a drop style, which is flattering as it will streamline your face. In classic silver, they will complement most outfits with ease.;50;50;Women;Summer;Brass
Orinda Crystal Sculptural Ring - Gold;Accessories;This Orinda ring in gold is a small accessory that makes a big impression. Studded with white crystals of varying sizes, this sculptural design will add an artful touch to all your outfits.;50;50;Women;Summer;Brass
Orinda Crystal Sculptural Ring - Silver;Accessories;Make a subtle but striking statement with this Orinda ring in shiny silver. Studded with multi-coloured crystals of varying sizes, this sculptural design will add an artful touch to all your outfits.;50;50;Women;Summer;Brass
Orinda Crystal Starfish Stud Earrings - Silver;Accessories;Glamorous with a seaside-inspired twist, the Orinda earrings are perfect for summer. Multi-coloured faux crystals add extra shine to the silver-tone finish of the starfish silhouette. Wear them on their own or stacked with other pieces from the Orinda collection to complete your looks.;50;50;Women;Summer;Brass
Bijou Cateye Sunglasses;Accessories;What is summer without a pair of fun sunglasses? These Bijou sunglasses with an ombre beige-pink finish will add a bright touch of colour to enhance your warm weather outfits. The sleek, angular cat-eye silhouette is chic and contemporary.;80;80;Women;Summer;Recycled Acetate
Crochet Flower Beaded Charm;Accessories;Give your bags a soft, romantic touch with this beaded charm. The combination of a crochet flower and pearlescent beads creates an interplay of textures that will add interest to your bags.;20;25;Women;Summer;Wrinkled PU
Edie Oval Sunglasses;Accessories;For a clean look, the Edie sunglasses are the way to go. The sleek style is adorned with metallic accents on the sides, which creates a distinctively edgy design. In chalk, they will match effortlessly with many ensembles.;80;80;Women;Summer;Recycled Acetate
Crystal Double-Row Eternity Ring - Silver;Accessories;With this ring, you can add a touch of sparkle to your everyday outfit or use it to enhance a standout party ensemble. Featuring not one, but two rows of sparkling crystals, it reflects light beautifully from every angle. Wear the ring solo for an understated look, or pair it with the matching crystal tennis bracelet and necklace from our 2024 Holiday Collection for a dazzling appearance.;50;50;Women;Summer;Stainless Steel
Hoop Earrings - Gold;Accessories;Everybody needs a staple pair of hoops, and this pair is as classic as it gets. The dainty silhouette will elevate your ensembles in an understated way and go well with everything. Wear these brush gold hoop earrings on their own to polish up your everyday looks.;50;50;Women;Summer;Brass
Hoop Earrings - Silver;Accessories;Simple accessories go a long way in adding sophistication to any look. Wear these silver hoop earrings on their own to polish up your everyday looks, or explore our full range of jewellery charms (subject to market availability) for a personalised touch.;50;50;Women;Summer;Brass
Tricha Turn-Lock Wallet;Accessories;This compact Tricha wallet in black features a front flap with a turn-lock closure, stitch-trim detailing and a minimalist, clean-lined silhouette. Use it to keep your note bills, cards and coins organised and secure.;70;70;Women;Summer;Saffiano PU
Briony Curved Flap Wallet;Accessories;Make wineberry red your new neutral -- it adds a touch of sophistication to the Briony curved flap wallet, which features a compact size that belies its functionality. Opening to reveal multiple card slots and compartments, it will keep your essentials neatly organised, with a rear patch pocket for securing loose change.;70;70;Women;Summer;Caviar PU
Harmonee Top-Zip Small Wallet;Accessories;This Harmonee small wallet in taupe features a compact silhouette with a fold-over design, a snap-button closure and a top-zip compartment. Sitting comfortably in the palm of your hand, it will be a chic companion for lunch breaks and errand runs.;70;70;Women;Summer;Calf PU
Carli Multi-Slot Card Holder;Accessories;This Carli card holder in soft pink features multiple card slots, stitch-trim details, a back zip compartment, a slim rectangular profile and gold-tone logo for a hint of shine. Carry it in the palm of your hand during quick errand runs or slip it into your pocket.;70;70;Women;Summer;Calf PU
Behn Small Wallet;Accessories;This Behn small wallet in shell grey features a fold-over design, a secure zip compartment and a striking gold-tone buckle at its centre for a touch of shine. It will add an elegant element to your everyday routine.;70;70;Women;Summer;Calf PU
Ciara Top-Zip Card Holder;Accessories;This Ciara card holder in burgundy features a top-zip closure, a duo-heart charm, intricate knot details and multiple card slots. It will elevate your everyday routine with its rich colour and elegant details.;70;70;Women;Summer;Wrinkled PU
Briony Curved Flap Long Wallet;Accessories;It does not get more classic than a long wallet with a magnetic flap closure. This version, in a distinctive wineberry red, stands out with its unique colourway. Inside, multiple compartments and card slots will help keep your essentials neatly organised while exuding effortless style.;70;70;Women;Summer;Caviar PU
Bliss Snap Button Card Holder;Accessories;For a timeless addition to any accessory collection, a black card holder is always a good idea. Ultra-compact and lightweight, this piece may look small but it certainly packs a punch. It features a bi-fold design that opens to reveal more card slots and inner patch pockets while the snap-button closure will ensure your items are kept securely in place.;70;70;Women;Summer;Tumble PU
